"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CG0073","HP0001","HP0015","HP0047","HP0048","HP0069","HP0076","HP0077","Neisseria_cinerea_ATCC_14685","Neisseria_elongata_subsp_glycolytica_ATCC_29315","Neisseria_flavescens_NRL30031","Neisseria_gonorrhoeae_FA1090","Neisseria_lactamica_ATCC_23970","Neisseria_meningitidis_MC58","Neisseria_mucosa_ATCC_25996","Neisseria_polysaccharea_ATCC_43768","Neisseria_sicca_ATCC_29256","Neisseria_subflava_NJ9703","TT0073","TT0074"
"F9Z35_RS02810","","DEAD/DEAH box helicase family protein","1","1","1","","","","","","2774","2774","2774","","","","","","","","","","","","F9Z35_RS02810.p01","","","","","","","",""
"F9Z35_RS02820","","hypothetical protein","1","1","1","","","","","","230","230","230","","","","","","","","","","","","F9Z35_RS02820.p01","","","","","","","",""
"F9Z35_RS02835","","hypothetical protein","1","1","1","","","","","","290","290","290","","","","","","","","","","","","F9Z35_RS02835.p01","","","","","","","",""
"F9Z35_RS02840","","cell filamentation protein Fic","1","1","1","","","","","","494","494","494","","","","","","","","","","","","F9Z35_RS02840.p01","","","","","","","",""
"F9Z35_RS02885","","hypothetical protein","1","1","1","","","","","","248","248","248","","","","","","","","","","","","F9Z35_RS02885.p01","","","","","","","",""
"group_1108","","hypothetical protein","1","1","1","1","1996","1","2049","","326","326","326","","","","","","","","","","","","","","","","","","","","PAHHJFHK_01227"
"F9Z35_RS02970","","methyltransferase domain-containing protein","1","1","1","","","","","","665","665","665","","","","","","","","","","","","F9Z35_RS02970.p01","","","","","","","",""
"group_11081","priB","primosomal replication protein N","1","1","1","","","","","","302","302","302","","","","","","","","","","","","F9Z35_RS03095.p01","","","","","","","",""
"F9Z35_RS03135","","carbonic anhydrase family protein","1","1","1","","","","","","758","758","758","","","","","","","","","","","","F9Z35_RS03135.p01","","","","","","","",""
"F9Z35_RS03160","","CreA family protein","1","1","1","","","","","","560","560","560","","","","","","","","","","","","F9Z35_RS03160.p01","","","","","","","",""
"F9Z35_RS03175","","fumarylacetoacetate hydrolase family protein","1","1","1","","","","","","656","656","656","","","","","","","","","","","","F9Z35_RS03175.p01","","","","","","","",""
"F9Z35_RS03220","","polyisoprenoid-binding protein","1","1","1","","","","","","560","560","560","","","","","","","","","","","","F9Z35_RS03220.p01","","","","","","","",""
"F9Z35_RS03225","","hypothetical protein","1","1","1","","","","","","188","188","188","","","","","","","","","","","","F9Z35_RS03225.p01","","","","","","","",""
"F9Z35_RS03240","","hypothetical protein","1","1","1","","","","","","950","950","950","","","","","","","","","","","","F9Z35_RS03240.p01","","","","","","","",""
"F9Z35_RS03255","","DnaJ domain-containing protein","1","1","1","","","","","","692","692","692","","","","","","","","","","","","F9Z35_RS03255.p01","","","","","","","",""
"F9Z35_RS03285","","site-specific DNA-methyltransferase","1","1","1","","","","","","2063","2063","2063","","","","","","","","","","","","F9Z35_RS03285.p01","","","","","","","",""
"F9Z35_RS03290","","peptidyl-prolyl cis-trans isomerase","1","1","1","","","","","","557","557","557","","","","","","","","","","","","F9Z35_RS03290.p01","","","","","","","",""
"F9Z35_RS03320","","methyltransferase domain-containing protein","1","1","1","","","","","","1550","1550","1550","","","","","","","","","","","","F9Z35_RS03320.p01","","","","","","","",""
"F9Z35_RS03325","","hypothetical protein","1","1","1","","","","","","209","209","209","","","","","","","","","","","","F9Z35_RS03325.p01","","","","","","","",""
"F9Z35_RS03330","","heavy-metal-associated domain-containing protein","1","1","1","","","","","","212","212","212","","","","","","","","","","","","F9Z35_RS03330.p01","","","","","","","",""
"F9Z35_RS03340","","MBOAT family protein","1","1","1","","","","","","1436","1436","1436","","","","","","","","","","","","F9Z35_RS03340.p01","","","","","","","",""
"F9Z35_RS03345","","DUF459 domain-containing protein","1","1","1","","","","","","983","983","983","","","","","","","","","","","","F9Z35_RS03345.p01","","","","","","","",""
"F9Z35_RS03375","","hypothetical protein","1","1","1","","","","","","188","188","188","","","","","","","","","","","","F9Z35_RS03375.p01","","","","","","","",""
"F9Z35_RS03380","","site-specific integrase","1","1","1","","","","","","989","989","989","","","","","","","","","","","","F9Z35_RS03380.p01","","","","","","","",""
"group_1110","","hypothetical protein","1","1","1","1","1187","1","2757","","269","269","269","HMOAHFMJ_02605","","","","","","","","","","","","","","","","","","",""
"F9Z35_RS03390","","tape measure protein","1","1","1","","","","","","3047","3047","3047","","","","","","","","","","","","F9Z35_RS03390.p01","","","","","","","",""
"F9Z35_RS03395","","hypothetical protein","1","1","1","","","","","","149","149","149","","","","","","","","","","","","F9Z35_RS03395.p01","","","","","","","",""
"F9Z35_RS03400","","hypothetical protein","1","1","1","","","","","","206","206","206","","","","","","","","","","","","F9Z35_RS03400.p01","","","","","","","",""
"F9Z35_RS05335","","hypothetical protein","1","1","1","","","","","","206","206","206","","","","","","","","","","","","F9Z35_RS05335.p01","","","","","","","",""
"F9Z35_RS03405","","hypothetical protein","1","1","1","","","","","","344","344","344","","","","","","","","","","","","F9Z35_RS03405.p01","","","","","","","",""
"F9Z35_RS05340","","hypothetical protein","1","1","1","","","","","","344","344","344","","","","","","","","","","","","F9Z35_RS05340.p01","","","","","","","",""
"F9Z35_RS03410","","TIGR02594 family protein","1","1","1","","","","","","539","539","539","","","","","","","","","","","","F9Z35_RS03410.p01","","","","","","","",""
"F9Z35_RS03415","","AbrB/MazE/SpoVT family DNA-binding domain-containing protein","1","1","1","","","","","","236","236","236","","","","","","","","","","","","F9Z35_RS03415.p01","","","","","","","",""
"F9Z35_RS03420","","mRNA interferase PemK","1","1","1","","","","","","347","347","347","","","","","","","","","","","","F9Z35_RS03420.p01","","","","","","","",""
"F9Z35_RS03425","","hypothetical protein","1","1","1","","","","","","233","233","233","","","","","","","","","","","","F9Z35_RS03425.p01","","","","","","","",""
"F9Z35_RS03430","","hypothetical protein","1","1","1","","","","","","332","332","332","","","","","","","","","","","","F9Z35_RS03430.p01","","","","","","","",""
"F9Z35_RS03435","","hypothetical protein","1","1","1","","","","","","470","470","470","","","","","","","","","","","","F9Z35_RS03435.p01","","","","","","","",""
"F9Z35_RS03440","","hypothetical protein","1","1","1","","","","","","305","305","305","","","","","","","","","","","","F9Z35_RS03440.p01","","","","","","","",""
"F9Z35_RS03445","","DUF1983 domain-containing protein","1","1","1","","","","","","4145","4145","4145","","","","","","","","","","","","F9Z35_RS03445.p01","","","","","","","",""
"F9Z35_RS03450","","XRE family transcriptional regulator","1","1","1","","","","","","278","278","278","","","","","","","","","","","","F9Z35_RS03450.p01","","","","","","","",""
"F9Z35_RS03455","","hypothetical protein","1","1","1","","","","","","431","431","431","","","","","","","","","","","","F9Z35_RS03455.p01","","","","","","","",""
"F9Z35_RS03460","","DUF2163 domain-containing protein","1","1","1","","","","","","854","854","854","","","","","","","","","","","","F9Z35_RS03460.p01","","","","","","","",""
"F9Z35_RS03465","","DUF2460 domain-containing protein","1","1","1","","","","","","599","599","599","","","","","","","","","","","","F9Z35_RS03465.p01","","","","","","","",""
"F9Z35_RS03470","","hypothetical protein","1","1","1","","","","","","266","266","266","","","","","","","","","","","","F9Z35_RS03470.p01","","","","","","","",""
"F9Z35_RS03475","","hypothetical protein","1","1","1","","","","","","329","329","329","","","","","","","","","","","","F9Z35_RS03475.p01","","","","","","","",""
"F9Z35_RS03480","","hypothetical protein","1","1","1","","","","","","773","773","773","","","","","","","","","","","","F9Z35_RS03480.p01","","","","","","","",""
"F9Z35_RS03485","","hypothetical protein","1","1","1","","","","","","428","428","428","","","","","","","","","","","","F9Z35_RS03485.p01","","","","","","","",""
"F9Z35_RS03495","","phage gp6-like head-tail connector protein","1","1","1","","","","","","530","530","530","","","","","","","","","","","","F9Z35_RS03495.p01","","","","","","","",""
"F9Z35_RS03500","","hypothetical protein","1","1","1","","","","","","362","362","362","","","","","","","","","","","","F9Z35_RS03500.p01","","","","","","","",""
"F9Z35_RS03505","","hypothetical protein","1","1","1","","","","","","1499","1499","1499","","","","","","","","","","","","F9Z35_RS03505.p01","","","","","","","",""
"F9Z35_RS03510","","hypothetical protein","1","1","1","","","","","","1157","1157","1157","","","","","","","","","","","","F9Z35_RS03510.p01","","","","","","","",""
"F9Z35_RS03515","","phage portal protein","1","1","1","","","","","","2147","2147","2147","","","","","","","","","","","","F9Z35_RS03515.p01","","","","","","","",""
"group_11127","terL","phage terminase large subunit","1","1","1","","","","","","1421","1421","1421","","","","","","","","","","","","F9Z35_RS03520.p01","","","","","","","",""
"F9Z35_RS03525","","hypothetical protein","1","1","1","","","","","","449","449","449","","","","","","","","","","","","F9Z35_RS03525.p01","","","","","","","",""
"F9Z35_RS03530","","hypothetical protein","1","1","1","","","","","","221","221","221","","","","","","","","","","","","F9Z35_RS03530.p01","","","","","","","",""
"F9Z35_RS03535","","hypothetical protein","1","1","1","","","","","","506","506","506","","","","","","","","","","","","F9Z35_RS03535.p01","","","","","","","",""
"F9Z35_RS03540","","hypothetical protein","1","1","1","","","","","","407","407","407","","","","","","","","","","","","F9Z35_RS03540.p01","","","","","","","",""
"F9Z35_RS03550","","RusA family crossover junction endodeoxyribonuclease","1","1","1","","","","","","545","545","545","","","","","","","","","","","","F9Z35_RS03550.p01","","","","","","","",""
"F9Z35_RS03575","","hypothetical protein","1","1","1","","","","","","791","791","791","","","","","","","","","","","","F9Z35_RS03575.p01","","","","","","","",""
"F9Z35_RS03585","","hypothetical protein","1","1","1","","","","","","149","149","149","","","","","","","","","","","","F9Z35_RS03585.p01","","","","","","","",""
"group_11136","sstT","serine/threonine transporter SstT","1","1","1","","","","","","1229","1229","1229","","","","","","","","","","","","F9Z35_RS09290.p01","","","","","","","",""
"F9Z35_RS03630","","hypothetical protein","1","1","1","","","","","","338","338","338","","","","","","","","","","","","F9Z35_RS03630.p01","","","","","","","",""
"F9Z35_RS03655","","hypothetical protein","1","1","1","","","","","","101","101","101","","","","","","","","","","","","F9Z35_RS03655.p01","","","","","","","",""
"F9Z35_RS03665","","hypothetical protein","1","1","1","","","","","","515","515","515","","","","","","","","","","","","F9Z35_RS03665.p01","","","","","","","",""
"F9Z35_RS03670","","L-threonylcarbamoyladenylate synthase","1","1","1","","","","","","602","602","602","","","","","","","","","","","","F9Z35_RS03670.p01","","","","","","","",""
"F9Z35_RS03680","","DUF4298 domain-containing protein","1","1","1","","","","","","305","305","305","","","","","","","","","","","","F9Z35_RS03680.p01","","","","","","","",""
"group_11144","waaC","lipopolysaccharide heptosyltransferase I","1","1","1","","","","","","968","968","968","","","","","","","","","","","","F9Z35_RS03700.p01","","","","","","","",""
"F9Z35_RS03705","","nicotinamidase","1","1","1","","","","","","635","635","635","","","","","","","","","","","","F9Z35_RS03705.p01","","","","","","","",""
"F9Z35_RS03730","","hypothetical protein","1","1","1","","","","","","395","395","395","","","","","","","","","","","","F9Z35_RS03730.p01","","","","","","","",""
"F9Z35_RS03805","","hypothetical protein","1","1","1","","","","","","392","392","392","","","","","","","","","","","","F9Z35_RS03805.p01","","","","","","","",""
"F9Z35_RS03810","","pilus assembly protein","1","1","1","","","","","","3020","3020","3020","","","","","","","","","","","","F9Z35_RS03810.p01","","","","","","","",""
"F9Z35_RS03840","","hypothetical protein","1","1","1","","","","","","407","407","407","","","","","","","","","","","","F9Z35_RS03840.p01","","","","","","","",""
"group_11150","rfbA","glucose-1-phosphate thymidylyltransferase RfbA","1","1","1","","","","","","866","866","866","","","","","","","","","","","","F9Z35_RS03915.p01","","","","","","","",""
"group_11151","rfbB","dTDP-glucose 4,6-dehydratase","1","1","1","","","","","","1040","1040","1040","","","","","","","","","","","","F9Z35_RS03920.p01","","","","","","","",""
"group_11152","dcm","DNA (cytosine-5-)-methyltransferase","1","1","1","","","","","","1001","1001","1001","","","","","","","","","","","","F9Z35_RS03935.p01","","","","","","","",""
"F9Z35_RS03950","","hypothetical protein","1","1","1","","","","","","281","281","281","","","","","","","","","","","","F9Z35_RS03950.p01","","","","","","","",""
"F9Z35_RS03975","","hypothetical protein","1","1","1","","","","","","149","149","149","","","","","","","","","","","","F9Z35_RS03975.p01","","","","","","","",""
"F9Z35_RS04010","","peptidase","1","1","1","","","","","","590","590","590","","","","","","","","","","","","F9Z35_RS04010.p01","","","","","","","",""
"F9Z35_RS04035","","LysM peptidoglycan-binding domain-containing protein","1","1","1","","","","","","1337","1337","1337","","","","","","","","","","","","F9Z35_RS04035.p01","","","","","","","",""
"F9Z35_RS04065","","HAMP domain-containing histidine kinase","1","1","1","","","","","","2120","2120","2120","","","","","","","","","","","","F9Z35_RS04065.p01","","","","","","","",""
"F9Z35_RS04070","","sigma-54-dependent Fis family transcriptional regulator","1","1","1","","","","","","1277","1277","1277","","","","","","","","","","","","F9Z35_RS04070.p01","","","","","","","",""
"group_11159","dprA","DNA-protecting protein DprA","1","1","1","","","","","","1187","1187","1187","","","","","","","","","","","","F9Z35_RS04075.p01","","","","","","","",""
"group_1116","","Putative O-methyltransferase/MSMEI_4947","1","1","1","1","5647","1","3024","","668","668","668","","","","","CPIGLEMO_00015","","","","","","","","","","","","","","",""
"F9Z35_RS04095","","outer membrane beta-barrel protein","1","1","1","","","","","","845","845","845","","","","","","","","","","","","F9Z35_RS04095.p01","","","","","","","",""
"F9Z35_RS04100","","hypothetical protein","1","1","1","","","","","","338","338","338","","","","","","","","","","","","F9Z35_RS04100.p01","","","","","","","",""
"F9Z35_RS04180","","hypothetical protein","1","1","1","","","","","","140","140","140","","","","","","","","","","","","F9Z35_RS04180.p01","","","","","","","",""
"F9Z35_RS04195","","hypothetical protein","1","1","1","","","","","","629","629","629","","","","","","","","","","","","F9Z35_RS04195.p01","","","","","","","",""
"F9Z35_RS04200","","hypothetical protein","1","1","1","","","","","","242","242","242","","","","","","","","","","","","F9Z35_RS04200.p01","","","","","","","",""
"F9Z35_RS04205","","DUF560 domain-containing protein","1","1","1","","","","","","929","929","929","","","","","","","","","","","","F9Z35_RS04205.p01","","","","","","","",""
"F9Z35_RS04210","","DUF560 domain-containing protein","1","1","1","","","","","","149","149","149","","","","","","","","","","","","F9Z35_RS04210.p01","","","","","","","",""
"group_11168","rplW","50S ribosomal protein L23","1","1","1","","","","","","320","320","320","","","","","","","","","","","","F9Z35_RS04255.p01","","","","","","","",""
"F9Z35_RS04405","","porin","1","1","1","","","","","","1046","1046","1046","","","","","","","","","","","","F9Z35_RS04405.p01","","","","","","","",""
"group_11172","truA","tRNA pseudouridine(38-40) synthase TruA","1","1","1","","","","","","797","797","797","","","","","","","","","","","","F9Z35_RS04410.p01","","","","","","","",""
"F9Z35_RS04425","","hypothetical protein","1","1","1","","","","","","464","464","464","","","","","","","","","","","","F9Z35_RS04425.p01","","","","","","","",""
"F9Z35_RS04455","","hypothetical protein","1","1","1","","","","","","686","686","686","","","","","","","","","","","","F9Z35_RS04455.p01","","","","","","","",""
"F9Z35_RS04485","","hypothetical protein","1","1","1","","","","","","155","155","155","","","","","","","","","","","","F9Z35_RS04485.p01","","","","","","","",""
"F9Z35_RS04530","","hypothetical protein","1","1","1","","","","","","575","575","575","","","","","","","","","","","","F9Z35_RS04530.p01","","","","","","","",""
"group_11179","bamE","outer membrane protein assembly factor BamE","1","1","1","","","","","","377","377","377","","","","","","","","","","","","F9Z35_RS04595.p01","","","","","","","",""
"group_1118","","hypothetical protein","1","1","1","1","5645","1","3026","","506","506","506","","","","","CPIGLEMO_00013","","","","","","","","","","","","","","",""
"F9Z35_RS04620","","RnfABCDGE type electron transport complex subunit B","1","1","1","","","","","","839","839","839","","","","","","","","","","","","F9Z35_RS04620.p01","","","","","","","",""
"F9Z35_RS04685","","manganese efflux pump MntP family protein","1","1","1","","","","","","566","566","566","","","","","","","","","","","","F9Z35_RS04685.p01","","","","","","","",""
"F9Z35_RS04720","","quinone-dependent dihydroorotate dehydrogenase","1","1","1","","","","","","1007","1007","1007","","","","","","","","","","","","F9Z35_RS04720.p01","","","","","","","",""
"F9Z35_RS04725","","DUF2247 family protein","1","1","1","","","","","","473","473","473","","","","","","","","","","","","F9Z35_RS04725.p01","","","","","","","",""
"F9Z35_RS04730","","hypothetical protein","1","1","1","","","","","","335","335","335","","","","","","","","","","","","F9Z35_RS04730.p01","","","","","","","",""
"group_11186","glnE","bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase","1","1","1","","","","","","2690","2690","2690","","","","","","","","","","","","F9Z35_RS04735.p01","","","","","","","",""
"F9Z35_RS04745","","hypothetical protein","1","1","1","","","","","","314","314","314","","","","","","","","","","","","F9Z35_RS04745.p01","","","","","","","",""
"group_11189","nuoN","NADH-quinone oxidoreductase subunit NuoN","1","1","1","","","","","","1445","1445","1445","","","","","","","","","","","","F9Z35_RS04845.p01","","","","","","","",""
"F9Z35_RS04850","","DUF2818 family protein","1","1","1","","","","","","350","350","350","","","","","","","","","","","","F9Z35_RS04850.p01","","","","","","","",""
"F9Z35_RS04890","","septal ring lytic transglycosylase RlpA family protein","1","1","1","","","","","","686","686","686","","","","","","","","","","","","F9Z35_RS04890.p01","","","","","","","",""
"group_11192","bioH","pimeloyl-ACP methyl ester esterase BioH","1","1","1","","","","","","776","776","776","","","","","","","","","","","","F9Z35_RS04905.p01","","","","","","","",""
"F9Z35_RS04910","","hypothetical protein","1","1","1","","","","","","788","788","788","","","","","","","","","","","","F9Z35_RS04910.p01","","","","","","","",""
"F9Z35_RS04935","","alpha/beta fold hydrolase","1","1","1","","","","","","959","959","959","","","","","","","","","","","","F9Z35_RS04935.p01","","","","","","","",""
"group_11195","lptD","LPS-assembly protein LptD","1","1","1","","","","","","2405","2405","2405","","","","","","","","","","","","F9Z35_RS04955.p01","","","","","","","",""
"F9Z35_RS04960","","peptidyl-prolyl cis-trans isomerase","1","1","1","","","","","","1001","1001","1001","","","","","","","","","","","","F9Z35_RS04960.p01","","","","","","","",""
"F9Z35_RS04995","","deoxyribodipyrimidine photo-lyase","1","1","1","","","","","","1298","1298","1298","","","","","","","","","","","","F9Z35_RS04995.p01","","","","","","","",""
"F9Z35_RS05075","","membrane protein","1","1","1","","","","","","239","239","239","","","","","","","","","","","","F9Z35_RS05075.p01","","","","","","","",""
"F9Z35_RS05080","","hypothetical protein","1","1","1","","","","","","296","296","296","","","","","","","","","","","","F9Z35_RS05080.p01","","","","","","","",""
"group_1120","","hypothetical protein","1","1","1","1","5646","1","3025","","329","329","329","","","","","CPIGLEMO_00014","","","","","","","","","","","","","","",""
"F9Z35_RS05085","","hypothetical protein","1","1","1","","","","","","227","227","227","","","","","","","","","","","","F9Z35_RS05085.p01","","","","","","","",""
"F9Z35_RS05100","","CYTH domain-containing protein","1","1","1","","","","","","476","476","476","","","","","","","","","","","","F9Z35_RS05100.p01","","","","","","","",""
"F9Z35_RS05130","","hypothetical protein","1","1","1","","","","","","968","968","968","","","","","","","","","","","","F9Z35_RS05130.p01","","","","","","","",""
"F9Z35_RS05160","","hypothetical protein","1","1","1","","","","","","188","188","188","","","","","","","","","","","","F9Z35_RS05160.p01","","","","","","","",""
"F9Z35_RS05240","","glucose-6-phosphate isomerase","1","1","1","","","","","","1643","1643","1643","","","","","","","","","","","","F9Z35_RS05240.p01","","","","","","","",""
"F9Z35_RS05260","","hypothetical protein","1","1","1","","","","","","176","176","176","","","","","","","","","","","","F9Z35_RS05260.p01","","","","","","","",""
"F9Z35_RS05265","","DUF1049 domain-containing protein","1","1","1","","","","","","314","314","314","","","","","","","","","","","","F9Z35_RS05265.p01","","","","","","","",""
"group_11208","gloA","lactoylglutathione lyase","1","1","1","","","","","","389","389","389","","","","","","","","","","","","F9Z35_RS05275.p01","","","","","","","",""
"F9Z35_RS05320","","hypothetical protein","1","1","1","","","","","","176","176","176","","","","","","","","","","","","F9Z35_RS05320.p01","","","","","","","",""
"F9Z35_RS05325","","hypothetical protein","1","1","1","","","","","","998","998","998","","","","","","","","","","","","F9Z35_RS05325.p01","","","","","","","",""
"F9Z35_RS05345","","TIGR02594 family protein","1","1","1","","","","","","539","539","539","","","","","","","","","","","","F9Z35_RS05345.p01","","","","","","","",""
"NMB_RS08475","","IS110 family transposase","1","1","1","","","","","","956","956","956","","","","","","","","","","","","","","789e0afcaef373706e96bedeae961f4c_6535","","","","","",""
"F9Z35_RS05430","","helix-turn-helix domain-containing protein","1","1","1","","","","","","551","551","551","","","","","","","","","","","","F9Z35_RS05430.p01","","","","","","","",""
"F9Z35_RS09245","","helix-turn-helix domain-containing protein","1","1","1","","","","","","551","551","551","","","","","","","","","","","","F9Z35_RS09245.p01","","","","","","","",""
"F9Z35_RS09445","","helix-turn-helix domain-containing protein","1","1","1","","","","","","551","551","551","","","","","","","","","","","","F9Z35_RS09445.p01","","","","","","","",""
"F9Z35_RS11995","","helix-turn-helix domain-containing protein","1","1","1","","","","","","551","551","551","","","","","","","","","","","","F9Z35_RS11995.p01","","","","","","","",""
"leuA_2","","2-isopropylmalate synthase","1","1","1","1","5640","1","3031","","398","398","398","","","","","CPIGLEMO_00008","","","","","","","","","","","","","","",""
"F9Z35_RS05440","","hypothetical protein","1","1","1","","","","","","188","188","188","","","","","","","","","","","","F9Z35_RS05440.p01","","","","","","","",""
"F9Z35_RS09455","","hypothetical protein","1","1","1","","","","","","188","188","188","","","","","","","","","","","","F9Z35_RS09455.p01","","","","","","","",""
"F9Z35_RS12005","","hypothetical protein","1","1","1","","","","","","188","188","188","","","","","","","","","","","","F9Z35_RS12005.p01","","","","","","","",""
"F9Z35_RS05450","","Cro/Cl family transcriptional regulator","1","1","1","","","","","","185","185","185","","","","","","","","","","","","F9Z35_RS05450.p01","","","","","","","",""
"F9Z35_RS05485","","hypothetical protein","1","1","1","","","","","","233","233","233","","","","","","","","","","","","F9Z35_RS05485.p01","","","","","","","",""
"F9Z35_RS05490","","5-formyltetrahydrofolate cyclo-ligase","1","1","1","","","","","","659","659","659","","","","","","","","","","","","F9Z35_RS05490.p01","","","","","","","",""
"F9Z35_RS05510","","hypothetical protein","1","1","1","","","","","","371","371","371","","","","","","","","","","","","F9Z35_RS05510.p01","","","","","","","",""
"F9Z35_RS05525","","hypothetical protein","1","1","1","","","","","","650","650","650","","","","","","","","","","","","F9Z35_RS05525.p01","","","","","","","",""
"F9Z35_RS05530","","BON domain-containing protein","1","1","1","","","","","","608","608","608","","","","","","","","","","","","F9Z35_RS05530.p01","","","","","","","",""
"F9Z35_RS05550","","cytochrome b","1","1","1","","","","","","530","530","530","","","","","","","","","","","","F9Z35_RS05550.p01","","","","","","","",""
"leuA_1","","2-isopropylmalate synthase","1","1","1","1","5639","1","3032","","968","968","968","","","","","CPIGLEMO_00007","","","","","","","","","","","","","","",""
"F9Z35_RS05585","","hypothetical protein","1","1","1","","","","","","530","530","530","","","","","","","","","","","","F9Z35_RS05585.p01","","","","","","","",""
"F9Z35_RS05625","","bifunctional biotin--[acetyl-CoA-carboxylase] ligase/type III pantothenate kinase","1","1","1","","","","","","1778","1778","1778","","","","","","","","","","","","F9Z35_RS05625.p01","","","","","","","",""
"F9Z35_RS05630","","cell division protein","1","1","1","","","","","","824","824","824","","","","","","","","","","","","F9Z35_RS05630.p01","","","","","","","",""
"F9Z35_RS05635","","hypothetical protein","1","1","1","","","","","","122","122","122","","","","","","","","","","","","F9Z35_RS05635.p01","","","","","","","",""
"F9Z35_RS05640","","hypothetical protein","1","1","1","","","","","","212","212","212","","","","","","","","","","","","F9Z35_RS05640.p01","","","","","","","",""
"group_11236","thiS","sulfur carrier protein ThiS","1","1","1","","","","","","194","194","194","","","","","","","","","","","","F9Z35_RS05650.p01","","","","","","","",""
"F9Z35_RS05675","","amino acid ABC transporter permease","1","1","1","","","","","","659","659","659","","","","","","","","","","","","F9Z35_RS05675.p01","","","","","","","",""
"F9Z35_RS05680","","amino acid ABC transporter permease","1","1","1","","","","","","668","668","668","","","","","","","","","","","","F9Z35_RS05680.p01","","","","","","","",""
"F9Z35_RS05710","","hypothetical protein","1","1","1","","","","","","194","194","194","","","","","","","","","","","","F9Z35_RS05710.p01","","","","","","","",""
"moeB","","HesA/MoeB/ThiF family protein","1","1","1","","","","","","770","770","770","","","","","","","","","","","","F9Z35_RS05715.p01","","","","","","","",""
"F9Z35_RS05755","","hypothetical protein","1","1","1","","","","","","494","494","494","","","","","","","","","","","","F9Z35_RS05755.p01","","","","","","","",""
"F9Z35_RS05820","","ABC transporter ATP-binding protein","1","1","1","","","","","","941","941","941","","","","","","","","","","","","F9Z35_RS05820.p01","","","","","","","",""
"F9Z35_RS05825","","NUDIX domain-containing protein","1","1","1","","","","","","875","875","875","","","","","","","","","","","","F9Z35_RS05825.p01","","","","","","","",""
"F9Z35_RS05845","","pilin","1","1","1","","","","","","362","362","362","","","","","","","","","","","","F9Z35_RS05845.p01","","","","","","","",""
"F9Z35_RS05850","","pilin","1","1","1","","","","","","425","425","425","","","","","","","","","","","","F9Z35_RS05850.p01","","","","","","","",""
"F9Z35_RS05875","","lipoprotein","1","1","1","","","","","","521","521","521","","","","","","","","","","","","F9Z35_RS05875.p01","","","","","","","",""
"group_11249","glmU","UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase","1","1","1","","","","","","1370","1370","1370","","","","","","","","","","","","F9Z35_RS05905.p01","","","","","","","",""
"F9Z35_RS05910","","hypothetical protein","1","1","1","","","","","","272","272","272","","","","","","","","","","","","F9Z35_RS05910.p01","","","","","","","",""
"F9Z35_RS05915","","pyrimidine 5'-nucleotidase","1","1","1","","","","","","728","728","728","","","","","","","","","","","","F9Z35_RS05915.p01","","","","","","","",""
"F9Z35_RS05950","","prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","","","","","","494","494","494","","","","","","","","","","","","F9Z35_RS05950.p01","","","","","","","",""
"F9Z35_RS05960","","pilin","1","1","1","","","","","","422","422","422","","","","","","","","","","","","F9Z35_RS05960.p01","","","","","","","",""
"F9Z35_RS05970","","pilin","1","1","1","","","","","","365","365","365","","","","","","","","","","","","F9Z35_RS05970.p01","","","","","","","",""
"F9Z35_RS05975","","pilin","1","1","1","","","","","","365","365","365","","","","","","","","","","","","F9Z35_RS05975.p01","","","","","","","",""
"F9Z35_RS05990","","pilin","1","1","1","","","","","","371","371","371","","","","","","","","","","","","F9Z35_RS05990.p01","","","","","","","",""
"F9Z35_RS05995","","pilin","1","1","1","","","","","","431","431","431","","","","","","","","","","","","F9Z35_RS05995.p01","","","","","","","",""
"F9Z35_RS06000","","fimbrial protein","1","1","1","","","","","","371","371","371","","","","","","","","","","","","F9Z35_RS06000.p01","","","","","","","",""
"F9Z35_RS06020","","pilin","1","1","1","","","","","","425","425","425","","","","","","","","","","","","F9Z35_RS06020.p01","","","","","","","",""
"F9Z35_RS06025","","M48 family metallopeptidase","1","1","1","","","","","","689","689","689","","","","","","","","","","","","F9Z35_RS06025.p01","","","","","","","",""
"F9Z35_RS06045","","glycosyltransferase family 4 protein","1","1","1","","","","","","1055","1055","1055","","","","","","","","","","","","F9Z35_RS06045.p01","","","","","","","",""
"group_11262","nadD","nicotinate (nicotinamide) nucleotide adenylyltransferase","1","1","1","","","","","","605","605","605","","","","","","","","","","","","F9Z35_RS06085.p01","","","","","","","",""
"F9Z35_RS06115","","hypothetical protein","1","1","1","","","","","","1307","1307","1307","","","","","","","","","","","","F9Z35_RS06115.p01","","","","","","","",""
"F9Z35_RS06125","","ABC transporter ATP-binding protein","1","1","1","","","","","","758","758","758","","","","","","","","","","","","F9Z35_RS06125.p01","","","","","","","",""
"F9Z35_RS06130","","hypothetical protein","1","1","1","","","","","","626","626","626","","","","","","","","","","","","F9Z35_RS06130.p01","","","","","","","",""
